macrodomain,semantics,lexemes
ANGER,"anger (wrath, ire, fury, rage, ferocity)","kardimmiya- (TUKU.TUKU); kappilā(i/e)-; šā(i/e)-, šānt-, šā(u)war; lēlaniya-; karpi(ye/a)-; šulle-; šullai-; (:)šallakartae-; ḫarša(l)lant; ḫu(wa)pp-; idālu- (ḪUL); tarku-, tarkuwa-"
FEAR,"fear (terror, panic, horror, awe); worry; anxiety; respect; reverence (awe)","nakkiyaḫḫ-; nakki-, nakkešš-; pittuliya-; werite-/warite-; k(u)waya- kuwaya-; hatuk-; nāḫ-/naḫḫ-(i)- (HUS); naḫḫuwa-, naḫšaratt-; kurkuriye-; katkatiya-"
ENMITY,hate; contempt; hostility; despise; offense,"ḫurtai-; hu(wa)rt-; kūrur-; pukk-/ pugga-; puškant(i)-, pasku(wai)-; tamāšš-/tame/išš-, damešḫai-; luriyaḫ-; tepnu-; tepawesk-; kattu-, kattuwae-, kattawatar; šark-, šarkiwalli-; halluwai-; šanḫ-"
DISTRESS,offense; misery (wretchedness),idālu- (ḪUL); laḫlaḫḫi(ya)-; āḫra-; (a)impa-
SADNESS,"wailing (weeping, crying, lamentation, sobbing, sighing, shed tears); grief (sorrow, mourning); misery",lumpašti-; išhahru-; alalamnai-; wai-/we-/wesk-/wiya-
DESIRE,"sex; strong wish, desire","kup-, kup(i)yati-; wēkk-/wek-; ilāliye/a-"
JOY,"joy (merry-making, happiness, jubilation, rejoicing); pleasure; Schadenfreude",dušk-/tusk-/tuskiya-; ḫaḫreške/a-; ḫaḫḫarš-
CONTENTMENT,"satisfaction (approval); relief, relaxation, relentment; peace; pleasure","arsulai-; warsiya-, warsul-; milit(t)-; nū-n (nū-s, nū-t); galank- / kalank-; karuššiya-; lela(e)-; lilaresk-; lila-; takš-, takšul; talliya-, talli-; malаi"
LOVE,love; (divine) favour,"šanezzi-; ḫartu-; aššiye/a-/, SIG5-, assiyanu-;"
COMPASSION,"sympathy, forebearing; mercy tiya; pity; taking care","miyu-/-aw-; duddu-; duwaddu-; genzu-; kari kariyasha- kariye/a-, kariyatta-"
SHAME,"shame (humiliation, embarrassment, awkwardness); humility; humbleness; modesty",aša-; tekri-; zammurāi-
GUILT,conception of sin in Hittite,"waštul-, wašta-, wašku(i)"
ENVY,envy; jealousy,aršan(iye/a)-
DISSATISFACTION,disapproval; (disagreement),markie/a-
DISGUST,disgust; abhorrence; revulsion,pukk-/ pugga-; pukkanzatar
PRIDE,pride; arrogance,šulle-; šullai-; šark- / šarkiwalli
SURPRISE,"surprise appan; surprise"")","wemiya- (""to meet behind"" = ""to markištae-, markištaḫḫ-"
DESPAIR,hopelessness,"tarra-, arha tarranu-"